repo,source,description,category,language,stars,forks,descripcion_es,open_issues,license,topics,created_at,updated_at,pushed_at,discovered_at,source_url,github_url,score
n8n-io/n8n,GitHub topic:mcp,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",AI agents,TypeScript,190617,58201,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,1496,NOASSERTION,ai; apis; automation; cli; data-flow; development; integration-framework; integrations; ipaas; low-code; low-code-platform; mcp; mcp-client; mcp-server; n8n; no-code; self-hosted; typescript; workflow; workflow-automation,2019-06-22T09:24:21Z,2026-06-01T18:17:13Z,2026-06-01T18:20:26Z,,https://github.com/topics/mcp,https://github.com/n8n-io/n8n,365220
anomalyco/opencode,MAGI//ARCHIVE,The open source coding agent.,Qualitative analysis,TypeScript,168305,20107,"Sirve para organizar, codificar o analizar materiales cualitativos.",6439,MIT,,2025-04-30T20:08:00Z,2026-06-01T18:20:08Z,2026-06-01T17:54:22Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/sst-opencode.html,https://github.com/anomalyco/opencode,228626
open-webui/open-webui,MAGI//ARCHIVE,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",AI agents,Python,139541,20019,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",308,NOASSERTION,ai; llm; llm-ui; llm-webui; llms; mcp; ollama; ollama-webui; open-webui; openai; openapi; rag; self-hosted; ui; webui,2023-10-06T22:08:27Z,2026-06-01T18:07:28Z,2026-06-01T18:09:58Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/open-webui-open-webui.html,https://github.com/open-webui/open-webui,199598
firecrawl/firecrawl,GitHub topic:scraper,"The API to search, scrape, and interact with the web at scale. 🔥",Academic writing,TypeScript,127230,7600,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",378,AGPL-3.0,ai; ai-agents; ai-crawler; ai-scraping; ai-search; crawler; data-extraction; html-to-markdown; llm; markdown; scraper; scraping; web-crawler; web-data; web-data-extraction; web-scraper; web-scraping; web-search; webscraping,2024-04-15T21:02:29Z,2026-06-01T18:09:32Z,2026-06-01T17:50:05Z,,https://github.com/topics/scraper,https://github.com/firecrawl/firecrawl,150030
immich-app/immich,MAGI//ARCHIVE,High performance self-hosted photo and video management solution.,Other,TypeScript,102448,5771,Gestiona fotos y videos en un servidor propio o en una app especializada.,683,AGPL-3.0,backup-tool; flutter; google-photos; google-photos-alternative; javascript; mobile-app; nestjs; nodejs; photo-gallery; photos; photos-management; self-hosted; svelte; sveltekit; typescript; videos,2022-02-03T15:56:27Z,2026-06-01T17:56:08Z,2026-06-01T18:01:19Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/immich-app-immich.html,https://github.com/immich-app/immich,119761
3b1b/manim,MAGI//ARCHIVE,Animation engine for explanatory math videos,Other,Python,87267,7293,Repositorio para revisar: animation engine for explanatory math videos.,495,MIT,3b1b-videos; animation; explanatory-math-videos; python,2015-03-22T18:50:58Z,2026-06-01T17:23:07Z,2026-04-18T13:59:18Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/3b1b-manim.html,https://github.com/3b1b/manim,109146
hoppscotch/hoppscotch,MAGI//ARCHIVE,"Open-Source API Development Ecosystem • https://hoppscotch.io • Offline, On-Prem & Cloud • Web, Desktop & CLI • Open-Source Alternative to Postman, Insomnia",Dev tools,TypeScript,79372,5904,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,728,MIT,api; api-client; api-rest; api-testing; developer-tools; graphql; http; http-client; pwa; rest; rest-api; spa; testing; testing-tools; tools; vue; vuejs; websocket,2019-08-21T13:15:24Z,2026-06-01T17:24:54Z,2026-05-28T12:01:42Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/hoppscotch-hoppscotch.html,https://github.com/hoppscotch/hoppscotch,97084
facebook/docusaurus,MAGI//ARCHIVE,Easy to maintain open source documentation websites.,Other,TypeScript,65068,9915,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",389,MIT,documentation; hacktoberfest; javascript; open-source; react; website,2017-06-20T16:13:53Z,2026-06-01T17:13:02Z,2026-06-01T15:50:40Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/facebook-docusaurus.html,https://github.com/facebook/docusaurus,94813
commaai/openpilot,MAGI//ARCHIVE,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",Other,Python,61236,10952,"Repositorio para revisar: openpilot is an operating system for robotics. currently, it upgrades the driver assistance system on 300+ supported cars.",159,MIT,advanced-driver-assistance-systems; driver-assistance-systems; robotics,2016-11-24T01:33:30Z,2026-06-01T17:33:38Z,2026-06-01T17:36:46Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/commaai-openpilot.html,https://github.com/commaai/openpilot,94092
koala73/worldmonitor,GitHub topic:dashboard,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",Geospatial,TypeScript,55345,8887,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",187,NOASSERTION,ai; dashboard; geopolitics; monitoring; news; opensource; osint; palantir; situation,2026-01-08T17:26:06Z,2026-06-01T18:15:22Z,2026-06-01T18:12:40Z,,https://github.com/topics/dashboard,https://github.com/koala73/worldmonitor,82006
