repo,source,description,category,language,stars,forks,descripcion_es,open_issues,license,topics,created_at,updated_at,pushed_at,discovered_at,source_url,github_url,score
anomalyco/opencode,MAGI//ARCHIVE,The open source coding agent.,Qualitative analysis,TypeScript,180488,22198,"Sirve para organizar, codificar o analizar materiales cualitativos.",7068,MIT,,2025-04-30T20:08:00Z,2026-06-29T16:15:15Z,2026-06-29T16:15:45Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/sst-opencode.html,https://github.com/anomalyco/opencode,247082
open-webui/open-webui,MAGI//ARCHIVE + GitHub topic:llm + GitHub topic:rag + GitHub topic:mcp,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",AI agents,Python,143435,20676,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",291,NOASSERTION,ai; llm; llm-ui; llm-webui; llms; mcp; ollama; ollama-webui; open-webui; openai; openapi; rag; self-hosted; ui; webui,2023-10-06T22:08:27Z,2026-06-29T16:15:19Z,2026-06-29T16:13:38Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/open-webui-open-webui.html,https://github.com/open-webui/open-webui,205463
firecrawl/firecrawl,GitHub topic:scraper + GitHub topic:markdown,"The API to search, scrape, and interact with the web at scale. 🔥",Academic writing,TypeScript,141336,8135,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",369,AGPL-3.0,ai; ai-agents; ai-crawler; ai-scraping; ai-search; crawler; data-extraction; html-to-markdown; llm; markdown; scraper; scraping; web-crawler; web-data; web-data-extraction; web-scraper,2024-04-15T21:02:29Z,2026-06-29T16:13:25Z,2026-06-29T16:14:33Z,,https://github.com/topics/scraper,https://github.com/firecrawl/firecrawl,165741
apache/superset,GitHub topic:data-visualization,Apache Superset is a Data Visualization and Data Exploration Platform,Data / ETL,TypeScript,73584,17754,Crea visualizaciones para explorar datos y comunicar resultados.,912,Apache-2.0,analytics; apache; apache-superset; asf; bi; business-analytics; business-intelligence; data-analysis; data-analytics; data-engineering; data-science; data-visualization; data-viz; flask; python; react; sql-editor; superset,2015-07-21T18:55:34Z,2026-06-29T16:15:29Z,2026-06-29T16:15:22Z,,https://github.com/topics/data-visualization,https://github.com/apache/superset,126846
immich-app/immich,MAGI//ARCHIVE,High performance self-hosted photo and video management solution.,Other,TypeScript,104668,5967,Gestiona fotos y videos en un servidor propio o en una app especializada.,661,AGPL-3.0,backup-tool; flutter; google-photos; google-photos-alternative; javascript; mobile-app; nestjs; nodejs; photo-gallery; photos; photos-management; self-hosted; svelte; sveltekit; typescript; videos,2022-02-03T15:56:27Z,2026-06-29T15:48:51Z,2026-06-29T16:10:51Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/immich-app-immich.html,https://github.com/immich-app/immich,122569
grafana/grafana,GitHub topic:dashboard + GitHub topic:data-visualization,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",Data / ETL,TypeScript,75180,14153,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",3522,AGPL-3.0,alerting; analytics; business-intelligence; dashboard; data-visualization; elasticsearch; go; grafana; hacktoberfest; influxdb; metrics; monitoring; mysql; postgres; prometheus,2013-12-11T15:59:56Z,2026-06-29T15:48:51Z,2026-06-29T16:08:14Z,,https://github.com/topics/dashboard,https://github.com/grafana/grafana,117639
3b1b/manim,MAGI//ARCHIVE,Animation engine for explanatory math videos,Other,Python,87960,7339,Repositorio para revisar: animation engine for explanatory math videos.,496,MIT,3b1b-videos; animation; explanatory-math-videos; python,2015-03-22T18:50:58Z,2026-06-29T15:22:49Z,2026-04-18T13:59:18Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/3b1b-manim.html,https://github.com/3b1b/manim,109977
hoppscotch/hoppscotch,MAGI//ARCHIVE,"Open-Source API Development Ecosystem • https://hoppscotch.io • Offline, On-Prem & Cloud • Web, Desktop & CLI • Open-Source Alternative to Postman, Insomnia",Dev tools,TypeScript,79673,5947,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,756,MIT,api; api-client; api-rest; api-testing; developer-tools; graphql; http; http-client; pwa; rest; rest-api; spa; testing; testing-tools; tools; vue; vuejs; websocket,2019-08-21T13:15:24Z,2026-06-29T15:49:33Z,2026-06-29T12:55:34Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/hoppscotch-hoppscotch.html,https://github.com/hoppscotch/hoppscotch,97514
commaai/openpilot,MAGI//ARCHIVE,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",Other,Python,62695,11107,"Repositorio para revisar: openpilot is an operating system for robotics. currently, it upgrades the driver assistance system on 300+ supported cars.",145,MIT,advanced-driver-assistance-systems; driver-assistance-systems; robotics,2016-11-24T01:33:30Z,2026-06-29T16:14:52Z,2026-06-29T15:12:05Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/commaai-openpilot.html,https://github.com/commaai/openpilot,96016
facebook/docusaurus,MAGI//ARCHIVE,Easy to maintain open source documentation websites.,Other,TypeScript,65440,9943,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",375,MIT,documentation; hacktoberfest; javascript; open-source; react; website,2017-06-20T16:13:53Z,2026-06-29T13:41:41Z,2026-06-26T20:32:49Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/facebook-docusaurus.html,https://github.com/facebook/docusaurus,95269
